Pattern String,Pattern Type ,Deceptive?
Exclusive insights - sign up for our newsletter today.,Interface Interference,1
Low stock alert! Act quickly to secure your item.,Interface Interference,1
Limited-time offer! Buy now for exclusive savings!,Interface Interference,1
Almost sold out! Secure your item before it's gone!,Interface Interference,1
VIP deal! Only for the first 100 customers!,Interface Interference,1
"Additional fees may apply, check terms for details.",Interface Interference,1
Prices set to rise soon - act fast for the best deal!,Interface Interference,1
Countdown to member pricing ends in 10 minutes!,Interface Interference,1
Save 60% instantl,Interface Interference,1
"Free trial, but credit card required to sign up.",Interface Interference,1
Unsubscribe? Not recommended for exclusive offers!,Interface Interference,1
Recommended add-ons pre-selected for convenience.,Interface Interference,1
proceed to checkout,Interface Interference,1
Start your 7-day free trial now; only a small monthly fee afterward!,Subscription Trap,1
"Unlock premium content with a complimentary 10-day trial, then a minor monthly cost.",Subscription Trap,1
Free 14-day trial—subscribe for exclusive features with a low monthly charge.,Subscription Trap,1
"Experience the best with a 30-day free trial, followed by a small fee.",Subscription Trap,1
"Sign up today, enjoy a 15-day trial, and continue for a modest monthly subscription.",Subscription Trap,1
"Try our services free for 5 days, then it's just a small monthly fee.",Subscription Trap,1
"Access premium content for a week, then pay a minimal monthly subscription fee.",Subscription Trap,1
"Test our exclusive features for 20 days free, then subscribe for a small monthly cost.",Subscription Trap,1
"Unlock advanced benefits with a 25-day trial, followed by a nominal monthly fee.",Subscription Trap,1
"Start your free 8-day trial now, then a small monthly subscription afterward.",Subscription Trap,1
"Enjoy a 21-day trial; afterward, a minor monthly charge applies.",Subscription Trap,1
"Sign up for a 6-day free trial, then enjoy for a low monthly fee.",Subscription Trap,1
"Experience the difference with our 28-day trial, followed by a small monthly subscription.",Subscription Trap,1
"Try us out free for 9 days, and afterward, it's just a modest monthly charge.",Subscription Trap,1
"Unlock premium services with a 22-day trial, and continue for a small monthly cost.",Subscription Trap,1
"Start your 19-day free trial now, then a nominal monthly charge afterward.",Subscription Trap,1
"Access our exclusive content for 23 days free, then enjoy for a small monthly fee.",Subscription Trap,1
"Test our premium features for 12 days free, then subscribe for a minor monthly cost.",Subscription Trap,1
"Enjoy the benefits with a 27-day trial period; afterward, a small monthly charge applies.",Subscription Trap,1
"Sign up for a 10-day free trial, and continue with a nominal monthly subscription fee.",Subscription Trap,1
"Experience premium services free for 17 days, then pay a modest monthly fee.",Subscription Trap,1
"Unlock exclusive features with a 16-day trial, followed by a small monthly subscription.",Subscription Trap,1
"Try our premium package free for 13 days, then enjoy for a minor monthly cost.",Subscription Trap,1
"Start your 26-day trial now, and afterward, a nominal monthly charge applies.",Subscription Trap,1
"Sign up for a 15-day free trial, then continue with a small monthly subscription fee.",Subscription Trap,1
"Access advanced benefits for 18 days free, and then enjoy for a low monthly cost.",Subscription Trap,1
"Experience the difference with our 24-day trial, followed by a modest monthly subscription.",Subscription Trap,1
"Try us out free for 11 days, then pay a small monthly charge for ongoing benefits.",Subscription Trap,1
"Unlock premium content for 30 days free, and afterward, it's just a nominal monthly fee.",Subscription Trap,1
"Start your free 14-day trial now, then enjoy for a small monthly cost.",Subscription Trap,1
"Enjoy a 25-day trial period, and afterward, a modest monthly charge applies.",Subscription Trap,1
"Sign up for an 8-day free trial, and continue with a small monthly subscription afterward.",Subscription Trap,1
"Access our exclusive features for 20 days free, then enjoy for a minimal monthly fee.",Subscription Trap,1
"Test our premium services with a 29-day trial, followed by a small monthly subscription.",Subscription Trap,1
"Try us out free for 9 days, and afterward, it's just a modest monthly charge.",Subscription Trap,1
"Unlock advanced benefits with a 22-day trial, and continue for a small monthly cost.",Subscription Trap,1
"Start your 23-day free trial now, then pay a minimal monthly subscription afterward.",Subscription Trap,1
"Experience premium content for 12 days free, then subscribe for a small monthly fee.",Subscription Trap,1
"Enjoy the benefits with a 27-day trial period; afterward, a small monthly charge applies.",Subscription Trap,1
"Sign up for a 10-day free trial, and continue with a nominal monthly subscription fee.",Subscription Trap,1
"Try our premium services free for 17 days, then pay a modest monthly fee.",Subscription Trap,1
"Unlock exclusive features with a 16-day trial, followed by a small monthly subscription. ",Subscription Trap,1
"Start your 13-day free trial now, and afterward, a minimal monthly charge applies.",Subscription Trap,1
"Access advanced benefit for 26 days free, and then enjoy for a low monthly cost.",Subscription Trap,1
"Sign up for a 15-day free trial, then continue with a small monthly subscription fee.",Subscription Trap,1
"Experience premium content for 18 days free, and afterward, it's just a nominal monthly fee.",Subscription Trap,1
"Try us out free for 24 days, then enjoy our services for a small monthly cost.",Subscription Trap,1
"Unlock premium services with a 19-day trial, and continue for a modest monthly subscription.",Subscription Trap,1
"Start your 22-day free trial now, then pay a minimal monthly charge afterward.",Subscription Trap,1
"Access our exclusive features for 23 days free, then enjoy for a small monthly fee.",Subscription Trap,1
"Test our premium services with a 12-day trial, followed by a small monthly subscription.",Subscription Trap,1
"Try us out free for 27 days, and afterward, it's just a modest monthly charge.",Subscription Trap,1
"Unlock advanced benefits with a 10-day trial, and continue for a small monthly cost.",Subscription Trap,1
"Experience premium content for 17 days free, then subscribe for a minimal monthly fee.",Subscription Trap,1
"Sign up for a 16-day free trial, then enjoy our services for a small monthly subscription fee.",Subscription Trap,1
"Enjoy the benefits with a 13-day trial period; afterward, a modest monthly charge applies.",Subscription Trap,1
"Try our premium features free for 29 days, and afterward, it's just a nominal monthly fee.",Subscription Trap,1
"Unlock exclusive content for 14 days free, then continue with a small monthly subscription.",Subscription Trap,1
"Start your 25-day free trial now, then enjoy for a modest monthly cost.",Subscription Trap,1
"Access our advanced features for 18 days free, and afterward, it's just a small monthly fee.",Subscription Trap,1
Are you sure you want to leave without completing your purchase? ,Nagging ,1
 Your items are still in the cart. Complete your order now! ,Nagging,1
 Limited stock! Buy now before it's too late! ,Nagging,1
 Subscribe to our newsletter for exclusive deals. Don't miss out! ,Nagging,1
Items in your wishlist are going fast. Buy them now! ,Nagging,1
 Unlock special discounts by sharing on social media. ,Nagging,1
 Join our loyalty program to enjoy ongoing benefits. ,Nagging,1
 One step away from exclusive member-only discounts. ,Nagging,1
 FOMO alert! Others are buying this product. Join them! ,Nagging,1
Complete your profile for personalized recommendations. ,Nagging,1
 Did you forget something? Your cart is waiting for you! ,Nagging,1
Exclusive early access for our VIP customers. ,Nagging,1
 Add more items to your cart to qualify for free shipping. ,Nagging,1
 Check out our recommended products for you. ,Nagging,1
 Don't miss out on the latest trends. Shop now! ,Nagging,1
 You're just one click away from amazing savings! ,Nagging,1
Your wishlist is lonely. Add items to make it happy! ,Nagging,1
 Refer a friend and both of you get extra discounts. ,Nagging,1
 Get a surprise gift with your next purchase. ,Nagging,1
 Stay in the loop – subscribe to our push notifications. ,Nagging,1
 Did you know? Members save an average of 20%. ,Nagging,1
 Complete your purchase to earn loyalty points. ,Nagging,1
 You're missing out on exclusive app-only deals. ,Nagging,1
 Don't miss our daily deals – check back every day! ,Nagging,1
 Add to cart now and enjoy a special discount at checkout. ,Nagging,1
Add to your wishlist and get notified when it's on sale. ,Nagging,1
 You've been selected for a one-time discount. Claim it now! ,Nagging,1
 Unlock premium content by becoming a member. ,Nagging,1
 Save your favorites for later. Register to access them anytime. ,Nagging,1
 Shopping is more fun when you share it. Invite your friends! ,Nagging,1
 Join the VIP club for exclusive access to private sales. ,Nagging,1
 Earn rewards for every purchase. Don't miss out on points! ,Nagging,1
"Limited-time offer: Buy one, get one 50% off! ",Nagging,1
 Upgrade to our premium plan for VIP customer support. ,Nagging,1
 Add more items to your cart and unlock a mystery gift. ,Nagging,1
 Complete your purchase for a chance to win a prize. ,Nagging,1
 Don't wait – items in your cart may sell out soon. ,Nagging,1
 Be the first to know about our upcoming sales events. ,Nagging,1
Exclusive access to our private collection for members. ,Nagging,1
 Add to cart now and enjoy a special bonus at checkout. ,Nagging,1
Members get early access to our Black Friday deals. ,Nagging,1
 Your wishlist is lonely. Fill it with joy – shop now! ,Nagging,1
 Unlock premium features by upgrading your account. ,Nagging,1
 Complete your purchase to receive a surprise gift. ,Nagging,1
 Don't miss out on our flash sale – happening now! ,Nagging,1
 Upgrade to our premium membership for VIP treatment,Nagging,1
Join our inner circle for exclusive perks and privileges. ,Nagging,1
 Upgrade to the deluxe edition for extra savings. ,Nagging,1
 Get 15% off your next order when you refer a friend. ,Nagging,1
 Your cart is jealous of other filled carts. Make it happy! ,Nagging,1
 Don't leave! We have a special offer just for you. ,Nagging,1
 Unlock access to members-only sales by signing up. ,Nagging,1
 Your cart is feeling lonely. Fill it with happiness! ,Nagging,1
 Members enjoy priority access to new product launches. ,Nagging,1
 Upgrade to our platinum plan for elite benefits. ,Nagging,1
 Refer a friend and both of you get a discount on your next order. ,Nagging,1
 Your favorite items are waiting. Complete your order now! ,Nagging,1
Don't miss out on our exclusive weekend sale. ,Nagging,1
 Get early access to our summer collection – join now! ,Nagging,1
 Your wishlist is craving attention. Shop now and make it happy! ,Nagging,1
Join our loyalty program and start earning rewards today. ,Nagging,1
 Complete your purchase to qualify for a special gift. ,Nagging,1
 Upgrade to our gold membership for golden deals. ,Nagging,1
 Your wishlist is like a treasure chest. Unlock it now! ,Nagging,1
 Members get exclusive access to our members-only sale. ,Nagging,1
T-shirt Price: $15.99 Customization Fee: $5.00 Final Cost: $20.99,Drip Pricing,1
Sneakers Cost: $59.99 Shipping Surcharge: $12.00 Total: $71.99,Drip Pricing,1
Book Price: $12.50 eBook Download Fee: $3.99 Grand Total: $16.49,Drip Pricing,1
Watch Price: $89.99 Extended Warranty: $15.00 Overall Price: $104.99,Drip Pricing,1
Smartphone: $399.99 Charger: $19.99 Total Bill: $419.98,Drip Pricing,1
Sunglasses Cost: $29.99 UV Protection Fee: $7.00 Final Price: $36.99,Drip Pricing,1
Handbag Price: $49.99 Premium Packaging: $8.99 Total: $58.98,Drip Pricing,1
Headphones Cost: $79.99 Replacement Plan: $10.00 Full Amount: $89.99,Drip Pricing,1
Gaming Console: $299.99 Online Subscription: $20.00 Grand Total: $319.99,Drip Pricing,1
Fitness Tracker: $49.99 Extra Bands: $5.99 Overall Cost: $55.98,Drip Pricing,1
Coffee Maker Price: $89.99 Maintenance Kit: $14.99 Total Expense: $104.98,Drip Pricing,1
Perfume Cost: $39.99 Gift Wrapping Fee: $6.50 Final Bill: $46.49,Drip Pricing,1
Backpack Price: $29.99 Rain Cover: $4.99 Total Price: $34.98,Drip Pricing,1
Plant Price: $19.99 Fertilizer Pack: $3.00 Overall Cost: $22.99,Drip Pricing,1
Camera Cost: $299.99 Memory Card: $24.99 Grand Total: $324.98,Drip Pricing,1
Bed Sheets Price: $49.99 Pillowcases Set: $8.00 Total: $57.99,Drip Pricing,1
Office Chair: $129.99 Assembly Service: $15.00 Final Price: $144.99,Drip Pricing,1
Blender Price: $39.99 Recipe Book: $5.99 Overall Cost: $45.98,Drip Pricing,1
Pet Supplies: $19.99 Pet Insurance: $7.50 Total Bill: $27.49,Drip Pricing,1
Hiking Boots: $89.99 Waterproofing Spray: $9.00 Grand Total: $98.99,Drip Pricing,1
Laptop Price: $799.99 Antivirus Software: $49.99 Total: $849.98,Drip Pricing,1
Desk Lamp Cost: $24.99 LED Bulbs: $3.50 Final Cost: $28.49,Drip Pricing,1
Kitchen Knife Set: $69.99 Sharpening Stone: $8.00 Overall Price: $77.99,Drip Pricing,1
Bath Towels Price: $19.99 Fabric Softener: $5.50 Total Price: $25.49,Drip Pricing,1
Winter Jacket Cost: $129.99 Thermal Lining: $15.00 Grand Total: $144.99,Drip Pricing,1
Coffee Grinder: $49.99 Coffee Beans Sampler: $7.99 Total: $57.98,Drip Pricing,1
Art Supplies: $39.99 Storage Box: $6.00 Final Bill: $45.99,Drip Pricing,1
Beach Chair Price: $29.99 Sunscreen: $4.50 Overall Cost: $34.49,Drip Pricing,1
Smart Thermostat: $129.99 Installation Kit: $19.99 Total Expense: $149.98,Drip Pricing,1
Portable Speaker: $59.99 Carrying Case: $8.00 Grand Total: $67.99,Drip Pricing,1
Skateboard Price: $49.99 Grip Tape: $5.99 Total: $55.98,Drip Pricing,1
Vacuum Cleaner: $149.99 Filter Replacement: $12.50 Final Price: $162.49,Drip Pricing,1
Snowboard Cost: $199.99 Waxing Kit: $15.00 Overall Cost: $214.99,Drip Pricing,1
Baby Stroller Price: $129.99 Rain Cover: $10.00 Total Price: $139.99,Drip Pricing,1
Drone Cost: $299.99 Extra Battery: $29.99 Grand Total: $329.98,Drip Pricing,1
Travel Backpack: $79.99 TSA Lock: $9.50 Total: $89.49,Drip Pricing,1
Fitness Equipment: $149.99 Assembly Fee: $20.00 Final Bill: $169.99,Drip Pricing,1
GPS Watch Price: $199.99 Map Updates: $14.99 Overall Price: $214.98,Drip Pricing,1
Wall Art: $49.99 Hanging Kit: $5.00 Total: $54.99,Drip Pricing,1
Alarm Clock Cost: $19.99 Backup Batteries: $3.99 Grand Total: $23.98,Drip Pricing,1
Bike Helmet: $39.99 Reflective Stickers: $4.50 Total Cost: $44.49,Drip Pricing,1
Digital Camera: $249.99 Camera Bag: $19.99 Final Price: $269.98,Drip Pricing,1
Crockpot Price: $39.99 Recipe Book: $6.50 Overall Cost: $46.49,Drip Pricing,1
Teapot Cost: $29.99 Tea Sampler: $4.00 Total Price: $33.99,Drip Pricing,1
Yoga Mat Price: $19.99 Carrying Strap: $3.50 Grand Total: $23.49,Drip Pricing,1
Power Drill: $79.99 Drill Bit Set: $8.00 Total: $87.99,Drip Pricing,1
Gaming Chair Cost: $149.99 Lumbar Pillow: $12.00 Final Cost: $161.99,Drip Pricing,1
Backpacking Tent: $99.99 Ground Tarp: $10.00 Overall Price: $109.99,Drip Pricing,1
Bread Maker Price: $79.99 Recipe Book: $7.99 Total: $87.98,Drip Pricing,1
Coffee Table Cost: $129.99 Glass Cleaner: $8.50 Grand Total: $138.49,Drip Pricing,1
Projector Price: $199.99 HDMI Cable: $5.00 Total: $204.99,Drip Pricing,1
Inflatable Mattress: $59.99 Repair Kit: $4.99 Final Bill: $64.98,Drip Pricing,1
Barbecue Grill: $249.99 Grill Cover: $15.00 Overall Cost: $264.99,Drip Pricing,1
Portable Fan Price: $29.99 Batteries: $3.50 Total Price: $33.49,Drip Pricing,1
Standing Desk Cost: $299.99 Cable Management Kit: $9.99 Grand Total: $309.98,Drip Pricing,1
Paint Set Price: $19.99 Easel: $5.00 Total: $24.99,Drip Pricing,1
"Event Ticket: $39.99, Venue Fee: $7.99, Total: $47.98",Drip Pricing,1
"Streaming Service: $12.99, HD Upgrade: $3.99, Total: $16.98",Drip Pricing,1
"Clothing Item: $45.99, Customization Fee: $12.99, Total: $58.98",Drip Pricing,1
"Gym Membership: $30.00, Towel Service: $5.99, Total: $35.99",Drip Pricing,1
"Meal Plan: $99.99, Nutritional Consultation: $19.99, Total: $119.98",Drip Pricing,1
"Mobile App Download: Free, Premium Features: $7.99/month, Total: Variable",Drip Pricing,1
"Hotel Room: $129.99, Resort Fee: $20.99, Total: $150.98",Drip Pricing,1
"Membership Fee: $25.00, Processing Charge: $5.99, Total: $30.99",Drip Pricing,1
"Course Fee: $89.99, E-book Access: $19.99, Total: $109.98",Drip Pricing,1
"Base Price: $29.99, Handling Fee: $4.99, Total: $34.98",Drip Pricing,1
"Subscription Cost: $15.00, Activation Fee: $5.99, Total: $20.99",Drip Pricing,1
"Software Price: $49.99, Updates Fee: $9.99, Total: $59.98",Drip Pricing,1
3 people bought this item last week.,Not a Dark Pattern ,0
31 people seeing this product right now,Not a Dark Pattern ,0
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",Not a Dark Pattern ,0
19 people have viewed this item,Not a Dark Pattern ,0
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Not a Dark Pattern ,0
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",Not a Dark Pattern ,0
2 people are looking at this listing now,Not a Dark Pattern ,0
4 sold in last 5 hours,Not a Dark Pattern ,0
72 Viewing This Product,Not a Dark Pattern ,0
Mitchell H. Purchased a Dimplex IgniteXL 100 Linear Built in Electric Fireplace,Not a Dark Pattern ,0
Favored By: 400 people!,Not a Dark Pattern ,0
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",Not a Dark Pattern ,0
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Not a Dark Pattern ,0
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Not a Dark Pattern ,0
Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,Not a Dark Pattern ,0
Real time 30 Visitor right now,Not a Dark Pattern ,0
9 sold in last 4 hours,Not a Dark Pattern ,0
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Not a Dark Pattern ,0
61 people have already bought that product today with 50% discount,Not a Dark Pattern ,0
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",Not a Dark Pattern ,0
"1,446 people have viewed this item",Not a Dark Pattern ,0
218 people have added this item to cart,Not a Dark Pattern ,0
11 people have purchased this item,Not a Dark Pattern ,0
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Not a Dark Pattern ,0
38 people are viewing this,Not a Dark Pattern ,0
"Someone from Rochedale, Queensland, Australia started buying this!",Not a Dark Pattern ,0
39 recently purchased it,Not a Dark Pattern ,0
85 have it in their cart,Not a Dark Pattern ,0
"Someone in Madrid, Spain just bought",Not a Dark Pattern ,0
33 sold in last 12 hours.,Not a Dark Pattern ,0
78 Persons looking for this product,Not a Dark Pattern ,0
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Not a Dark Pattern ,0
"Tyler in Norwalk, United States purchased a",Not a Dark Pattern ,0
"Someone in Ampang, Malaysia just bought",Not a Dark Pattern ,0
64 users bought this product Touch: The Set - Touch XL & TouchUp Makeup Mirror Bundle,Not a Dark Pattern ,0
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Not a Dark Pattern ,0
404 Orders,Not a Dark Pattern ,0
Trending Style! Sold 4 times today,Not a Dark Pattern ,0
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Not a Dark Pattern ,0
"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",Not a Dark Pattern ,0
"Someone in Paris, France just purchased a Kanpeki Knife Set",Not a Dark Pattern ,0
"3,081 people have viewed this item",Not a Dark Pattern ,0
166 people have added this item to cart,Not a Dark Pattern ,0
111 people have purchased this item,Not a Dark Pattern ,0
"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",Not a Dark Pattern ,0
7 people have it in their cart,Not a Dark Pattern ,0
1 person is viewing this,Not a Dark Pattern ,0
273 units sold in the last 30 days,Not a Dark Pattern ,0
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Not a Dark Pattern ,0
33 people are eyeing this item!,Not a Dark Pattern ,0
2 people are looking right now,Not a Dark Pattern ,0
"Monira in Doha, Qatar purchased a LilyVanityâ„¢ Velvet Box",Not a Dark Pattern ,0
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Not a Dark Pattern ,0
"Jamie in Nashville, United States purchased",Not a Dark Pattern ,0
117 people have viewed this item in the last 7 days.,Not a Dark Pattern ,0
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated ",Not a Dark Pattern ,0
3642 COPIES BOUGHT,Not a Dark Pattern ,0
5 Viewing This Product,Not a Dark Pattern ,0
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Not a Dark Pattern ,0
Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,Not a Dark Pattern ,0
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Not a Dark Pattern ,0
"Bobby in Decatur, United States just purchased",Not a Dark Pattern ,0
"Jessica in Orange, United States purchased a Black 1920s Sequin Maxi Flapper Dress 12 minutes ago",Not a Dark Pattern ,0
"2,221 people have purchased this item",Not a Dark Pattern ,0
"19,302 people have added this item to cart",Not a Dark Pattern ,0
"25,439 people have viewed this item",Not a Dark Pattern ,0
17 people have added this item to cart,Not a Dark Pattern ,0
4 people have purchased this item,Not a Dark Pattern ,0
161 people have viewed this item,Not a Dark Pattern ,0
Someone in Egypt bought,Not a Dark Pattern ,0
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Not a Dark Pattern ,0
"1,142 people have added to cart recently",Not a Dark Pattern ,0
"6,743 people have viewed recently",Not a Dark Pattern ,0
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Not a Dark Pattern ,0
Your order is reserved for 09:45 minutes!,False urgency,1
00DAYS02HRS14MINS1211SEC,False urgency,1
"Due To HIGH Demand, Cart Expires In: 08:41",False urgency,1
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,False urgency,1
Cart will expire in 04:53 minutes!,False urgency,1
Your order is reserved for 09:35 minutes!,False urgency,1
00DAYS00HOURS14MINUTES21SECONDS,False urgency,1
Your order is reserved for 09:14 minutes! ,False urgency,1
0 DAYS22 HOURS13 MINUTES21 SECONDS ,False urgency,1
Today's sale ends in: 00hours:57min:19sec,False urgency,1
Hurry up! Sale Ends in,False urgency,1
Your cart is reserved for 09:35 minutes.,False urgency,1
0 Days 2 Hours 57 Minutes 53 Seconds,False urgency,1
Your order is reserved for 09:54 minutes!,False urgency,1
Your cart is reserved for 14:57 minutes!,False urgency,1
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,False urgency,1
Activate within 0:30:00,False urgency,1
00DAYS07HOURS09MINUTES39SECONDS,False urgency,1
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,False urgency,1
Your order is reserved for 09:35 minutes!,False urgency,1
Hurry up! Discount Ends in DAYS HRS MINS SECS,False urgency,1
EXTRA -30% OFF WITH CODE: EXTRA30 Ends in: 0 0 0 0 days 0 0 4 4 hours . 0 0 9 9 min . 2 2 8 8 sec,False urgency,1
Your order is reserved for 09:56 minutes!,False urgency,1
Cart will expire in 08:19 minutes!,False urgency,1
SAVE $200 OFF PUFFY,False urgency,1
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,False urgency,1
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,False urgency,1
01 Hours 37 Minutes 48 Seconds 1/10s,False urgency,1
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,False urgency,1
00Days17Hours12Mins13Secs,False urgency,1
Your order is reserved for 29:52 minutes!,False urgency,1
